mean_speed,variance,departed
18.2399601949,0.0699837915341,2940
18.3600601004,0.0608187619407,2940
18.2557858695,0.0813597315284,2938
18.2270170529,0.0825393559522,2939
18.2946938098,0.0476115973126,2938
18.2504020938,0.074752215976,2939
18.3444838813,0.089400582257,2940
18.2345292131,0.0936227075815,2940
18.3321139902,0.0655776910546,2940
18.4301074765,0.0663429550022,2940
18.2211152287,0.0871977225212,2939
18.2477777809,0.0774862430146,2940
18.3167795946,0.0829618763228,2940
18.2505974651,0.039195787571,2940
18.4152694183,0.0470417050882,2940
18.2563811041,0.135524093814,2940
18.178602326,0.0736612743439,2939
18.4258857847,0.0450433251175,2940
18.3105392556,0.0541108151857,2940
18.4246588621,0.0368711613261,2939
18.2075913101,0.0672626504854,2940
18.3447910292,0.0781388720369,2940
18.3864963775,0.131846264708,2939
18.286853551,0.0585231979018,2939
18.3395330306,0.0819976545196,2940
18.1968050868,0.0867518299598,2938
18.2577215009,0.0655868144365,2940
18.2624825103,0.0878213606145,2939
18.2304696516,0.0631982333646,2940
18.3691368266,0.0497685925835,2940
18.3031040763,0.0707629459562,2940
18.2788671379,0.0596715307161,2940
18.3623022975,0.0832554023912,2939
18.3643495741,0.0453373462883,2940
18.3152402226,0.062999531757,2940
18.2822077563,0.0846294870223,2940
18.2614312704,0.0774901684393,2940
18.4014956136,0.0333360559102,2938
18.3470749507,0.0479596178233,2940
18.3762644645,0.0467403817873,2940
18.3533167356,0.0360531301933,2938
18.3327827608,0.0770663686738,2939
18.2890602719,0.0574467375493,2940
18.2498506982,0.0684535496822,2939
18.2635685428,0.0779438044591,2940
18.3493156002,0.06031356731,2940
18.3902121673,0.0623315115749,2940
18.237416025,0.048845514513,2940
18.3137326675,0.0456150158218,2938
18.3042473882,0.0503334360972,2940
18.2733299004,0.0896787613936,2939
18.2575821234,0.0496586374672,2939
18.3535931171,0.0429580593791,2940
18.2907355226,0.0614107370055,2939
18.3636858621,0.0564906502433,2940
18.3057222719,0.0535957452186,2940
18.1579096484,0.0581634372478,2939
18.3120929489,0.0781577786054,2940
18.3235401219,0.0735751597464,2938
18.3592637771,0.0669768586556,2940
18.2437766917,0.0669660351435,2940
18.3478084169,0.0518042073816,2939
18.2690716031,0.0646591721903,2939
18.2801650586,0.0660767986022,2938
18.3310668859,0.06264550387,2938
18.3169603083,0.0743067729647,2940
18.3279636169,0.086588312377,2940
18.2722137485,0.0652540104741,2938
18.2042922034,0.0747430880392,2940
18.3923091397,0.0619526504493,2940
18.2285389292,0.0589488223398,2940
18.3960197246,0.0441104322384,2940
18.269385361,0.10294323657,2940
18.3937548021,0.040730334407,2940
18.2523594982,0.0673364572825,2940
18.2617547371,0.0656029476793,2940
18.3205322376,0.0638479395207,2940
18.3644246701,0.0396048378491,2940
18.4195295792,0.0790730641638,2940
18.4485508311,0.0601187690202,2939
18.2026818733,0.094940641212,2938
18.3361832776,0.082235298479,2940
18.2317461569,0.0839894289026,2940
18.163848435,0.0820046547926,2940
18.266291723,0.0503865956625,2940
18.2884359229,0.0892484227111,2939
18.213720364,0.108829873905,2940
18.2134765753,0.0641992490907,2940
18.2508063038,0.0562996171477,2939
18.3239484792,0.0981880774784,2940
18.4790109588,0.0343501884239,2938
18.2550835254,0.0950101647032,2939
18.2650020789,0.0941218231808,2940
18.2888020816,0.0542693080552,2939
18.2573691927,0.0903009394933,2938
18.231301325,0.0489130585366,2939
18.2972949046,0.0806362154137,2940
18.2989325042,0.0773038295063,2938
18.231986405,0.0577915469788,2940
18.2473314874,0.0810017577814,2939
18.3269546789,0.0697159404786,2940
18.2882180109,0.0512298307178,2940
18.344784827,0.0535804518069,2940
18.2725091097,0.0480806584074,2940
18.4002934208,0.0376440156482,2940
18.2850553074,0.0703666358491,2940
18.3874659192,0.0536507938445,2940
18.3316493868,0.0664343012884,2940
18.3097656256,0.064862901988,2940
18.2385137671,0.0792747037739,2940
18.3436387809,0.0808675210522,2939
18.3043593629,0.0790244477824,2939
18.2293640715,0.0620733515277,2940
18.3195306077,0.0577225930371,2940
18.3560317175,0.035183857855,2940
18.2111244953,0.0744244198784,2939
18.4019379034,0.0591108897341,2938
18.3781297464,0.0787513233441,2940
18.3215108262,0.0807980546956,2939
18.3668063209,0.0430098199355,2940
18.3240383149,0.0396131129948,2940
18.2648973077,0.038911635941,2939
18.1498647323,0.0926897330481,2939
18.18249526,0.0990614151506,2940
18.3282865205,0.0658508097638,2940
18.3521787869,0.0392394152916,2939
18.4060145382,0.0467696907946,2939
18.3323075545,0.0550909616238,2940
18.3321686117,0.0458395513268,2939
18.2982996493,0.0862554446742,2939
18.2662622764,0.054632945975,2938
18.3335715659,0.0646397990311,2939
18.3058025172,0.0361977910704,2940
18.3472503599,0.0824081470445,2939
18.2987372763,0.0668469865398,2939
18.3421171574,0.0852181972729,2940
18.2965548509,0.0494729436208,2939
18.26182278,0.0694507646015,2938
18.3314327057,0.0819423568873,2940
18.3016461988,0.0671819576194,2940
18.3031716461,0.0491459590353,2939
18.2557402484,0.0666519548783,2939
18.2904553501,0.0557457345303,2940
18.3673354098,0.0776328112514,2940
18.2545932113,0.055682807464,2939
18.3210894516,0.06162002076,2938
18.3930517598,0.081082010791,2938
18.3281761166,0.0394595280195,2939
18.2992416203,0.0678287100727,2940
18.250967019,0.0311761061667,2940
18.3277194698,0.0771591541589,2939
18.1988837192,0.0807221343412,2939
18.4300550226,0.0428176599498,2940
18.2924251305,0.0828716036727,2940
18.3257403367,0.0612811716292,2940
18.3318067951,0.0622563824012,2939
18.280391106,0.0554479409167,2940
18.2869619808,0.0588416301518,2938
18.3515791707,0.0845396883045,2938
18.3652237854,0.0587958704385,2940
18.1970078566,0.0506372503667,2939
18.3501883903,0.0680573039157,2940
18.2876131945,0.0561220373117,2939
18.203921229,0.0514539910374,2940
18.3200618529,0.0512680903322,2939
18.3018511562,0.0855322830045,2939
18.3168621868,0.0599563436424,2940
18.2858559547,0.0483415840281,2939
18.289919406,0.0703770512486,2940
18.242355035,0.0691003709651,2940
18.304269773,0.0783593707884,2940
18.3235162942,0.0702375289735,2940
18.3965944681,0.0764178829906,2940
18.268267647,0.0535019090133,2940
18.3505015319,0.10607141346,2940
18.3151811477,0.102347527834,2939
18.3593711887,0.0675613444594,2939
18.3642505883,0.0587105863483,2940
18.3378710362,0.0480681542903,2940
18.2711963938,0.0367464465629,2940
18.3438234457,0.0311277083745,2939
18.3418947749,0.0492915465568,2940
18.4425775519,0.0739466585565,2939
18.4320904481,0.0636494853254,2939
18.3267280961,0.0635825187424,2940
18.3090970241,0.0707829120731,2940
18.2338917229,0.0397756632991,2940
18.31776623,0.0678923357954,2940
18.2720435571,0.0614843465114,2940
18.3056011504,0.0525459097629,2940
18.2456376925,0.0895275907009,2940
18.3407835988,0.0593445048415,2940
18.4040899644,0.0610238920675,2940
18.2523580295,0.0635262718987,2938
18.3768490553,0.0681966996576,2940
18.2096226426,0.116981205766,2938
18.2912151125,0.0571537776901,2940
18.3824764869,0.098001428726,2939
18.26766762,0.0728376131891,2940
18.3009711046,0.0743585580917,2938
18.2308167612,0.0804027889606,2939
18.3888291879,0.0801959332959,2940
18.252205111,0.0572224085889,2940
18.2940250026,0.0530591775681,2938
18.3334665681,0.0533725825568,2940
18.2151429612,0.0579250682431,2940
18.329780606,0.0272185347487,2940
18.2750214726,0.104848605568,2940
18.3210506242,0.0429232328145,2940
18.3758993504,0.0450087812701,2940
18.3631849799,0.0711903832733,2940
18.3887540249,0.0687502963137,2939
18.2316578977,0.106961440469,2938
18.2712122435,0.0492053350013,2939
18.2318563342,0.10067355378,2940
18.3494038461,0.0483465310677,2940
18.3263282512,0.083301534605,2940
18.2333573682,0.116522720999,2940
18.3795413858,0.0480257366517,2939
18.2209942548,0.0464263012359,2940
18.3387709061,0.0634333563513,2940
18.2837162905,0.0972936062873,2940
