mean_speed,variance,departed
18.3545571138,0.0670717543198,2938
18.2973667295,0.0957490608081,2940
18.3122726362,0.0531996258024,2940
18.3631235509,0.0715846332705,2939
18.3152845049,0.0701890638137,2939
18.2015295349,0.0531994630807,2939
18.2021059311,0.129930889149,2940
18.296745459,0.0518626824155,2939
18.2827732473,0.050344046923,2939
18.3649572324,0.0387664979917,2940
18.328549265,0.0739060567813,2940
18.2744753886,0.0420819362434,2940
18.4074442247,0.0381543078961,2940
18.2254993364,0.0428306143532,2938
18.2830353844,0.0412420220915,2939
18.3036505634,0.0540969544981,2940
18.2812331214,0.0348721075536,2940
18.188093186,0.0396308656393,2940
18.2765535541,0.0647358657219,2940
18.3899094634,0.0895988107322,2939
18.2511535913,0.0402037861251,2938
18.2973024463,0.0907209427971,2939
18.2973878009,0.0511849691898,2938
18.2946408691,0.0289272812158,2940
18.3621485187,0.0607551054666,2940
18.2642360263,0.0281828560827,2939
18.2357273602,0.116120653788,2940
18.2963765013,0.056201232775,2940
18.3537513696,0.0610988735605,2938
18.3543714021,0.0559350276473,2940
18.2965200208,0.0983403034392,2940
18.1965660053,0.0738104848658,2940
18.2785308203,0.0762000905872,2940
18.2873049808,0.0548135701951,2938
18.3946627804,0.0674321402056,2940
18.3686647957,0.0328009333502,2940
18.3582701281,0.0747116157659,2940
18.3117222795,0.0383562151531,2940
18.3084653262,0.0612086074529,2940
18.3365492716,0.0757627700433,2940
18.3417905108,0.0343303479108,2939
18.308159515,0.0481760567767,2938
18.2012353904,0.0544585137138,2939
18.3796378114,0.0335513655509,2940
18.3283884846,0.0591346053468,2940
18.3030445802,0.052935315332,2940
18.2548146112,0.0543167224468,2940
18.3234742676,0.0787691875843,2940
18.3456224443,0.0928378705248,2940
18.2891517437,0.0317209132825,2940
18.3261671226,0.0814893614253,2939
18.3665155254,0.0974048952225,2940
18.3017168616,0.0648971997184,2938
18.3900293317,0.0444317151186,2940
18.225022103,0.118581200393,2938
18.3490116435,0.0503662083691,2940
18.2789296395,0.0420365759458,2940
18.32925283,0.0755128011028,2940
18.3900461352,0.0577175798905,2938
18.2631922793,0.0466723208133,2940
18.376045052,0.083096583977,2940
18.353288448,0.107154725262,2939
18.321766281,0.0605618963698,2940
18.3070724028,0.0730835273146,2940
18.369832742,0.0588304712679,2940
18.3763772083,0.0542905449774,2938
18.2973024238,0.0386097123264,2940
